16-2-22 下午2:10
项目统计

     	   片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	31442	484158	3216212	3820072	   323	
剩余：  	    0	     0	      0	      0	     0	
独特：  	 3469	 92928	 634841	 738820	   202	
剩余独特：	    0	     0	      0	      0	     0	


单文件统计：

文件名                                    	总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
4.2/en/bibliography.xml                	 22	   0	   0	     0	  41	   0	   0	     0	     264	        0	        0	          0	     279	        0	        0	          0	
4.2/en/book.xml                        	 18	   0	   1	     0	  36	   0	   6	     0	     195	        0	       31	          0	     214	        0	       37	          0	
4.2/en/code-coverage-analysis.xml      	 67	   0	   0	     0	1204	   0	   0	     0	    7518	        0	        0	          0	    9078	        0	        0	          0	
4.2/en/configuration.xml               	 91	   0	   1	     0	1072	   0	  69	     0	    7738	        0	      905	          0	    9017	        0	     1143	          0	
4.2/en/database.xml                    	231	   0	   2	     0	5388	   0	   3	     0	   33409	        0	       93	          0	   39917	        0	       93	          0	
4.2/en/extending-phpunit.xml           	 39	   0	   1	     0	 886	   0	  43	     0	    6951	        0	      269	          0	    8640	        0	      305	          0	
4.2/en/fixtures.xml                    	 75	   0	  11	     0	1509	   0	 339	     0	    9227	        0	     2183	          0	   10939	        0	     2475	          0	
4.2/en/incomplete-and-skipped-tests.xml	 69	   0	   3	     0	 759	   0	  92	     0	    4574	        0	      569	          0	    5400	        0	      632	          0	
4.2/en/index.xml                       	  1	   0	   0	     0	   1	   0	   0	     0	       5	        0	        0	          0	       5	        0	        0	          0	
4.2/en/installation.xml                	 78	   0	  31	     0	1066	   0	 408	     0	    6364	        0	     2392	          0	    7355	        0	     2749	          0	
4.2/en/logging.xml                     	 27	   0	   0	     0	 838	   0	   0	     0	    5660	        0	        0	          0	    6879	        0	        0	          0	
4.2/en/organizing-tests.xml            	 26	   0	   3	     0	 511	   0	  63	     0	    2966	        0	      490	          0	    3543	        0	      537	          0	
4.2/en/other-uses-for-tests.xml        	 19	   0	   1	     0	 575	   0	  19	     0	    3024	        0	      134	          0	    3580	        0	      150	          0	
4.2/en/selenium.xml                    	103	   0	   3	     0	1525	   0	 142	     0	   10519	        0	      963	          0	   12217	        0	     1060	          0	
4.2/en/strict-mode.xml                 	 16	   0	   0	     0	 401	   0	   0	     0	    2168	        0	        0	          0	    2548	        0	        0	          0	
4.2/en/test-doubles.xml                	182	   0	   0	     0	3780	   0	   0	     0	   25030	        0	        0	          0	   31429	        0	        0	          0	
4.2/en/testing-practices.xml           	 28	   0	   0	     0	 510	   0	   0	     0	    2620	        0	        0	          0	    3100	        0	        0	          0	
4.2/en/textui.xml                      	188	   0	   2	     0	1758	   0	 423	     0	   10687	        0	     2815	          0	   12791	        0	     3704	          0	
4.2/en/upgrading.xml                   	 13	   0	   0	     0	 315	   0	   0	     0	    1928	        0	        0	          0	    2205	        0	        0	          0	
4.2/en/writing-tests-for-phpunit.xml   	153	   0	  14	     0	2667	   0	 596	     0	   18081	        0	     4035	          0	   21778	        0	     4579	          0	
4.3/en/annotations.xml                 	165	   0	   3	     0	1922	   0	  59	     0	   12653	        0	      462	          0	   15189	        0	      575	          0	
4.3/en/assertions.xml                  	480	   0	  42	     0	5197	   0	1840	     0	   40625	        0	    12769	          0	   45874	        0	    14046	          0	
4.3/en/bibliography.xml                	 22	   0	   0	     0	  41	   0	   0	     0	     264	        0	        0	          0	     279	        0	        0	          0	
4.3/en/book.xml                        	 18	   0	   1	     0	  36	   0	   6	     0	     195	        0	       31	          0	     214	        0	       37	          0	
4.3/en/code-coverage-analysis.xml      	 67	   0	   0	     0	1204	   0	   0	     0	    7518	        0	        0	          0	    9078	        0	        0	          0	
4.3/en/configuration.xml               	 91	   0	   1	     0	1072	   0	  69	     0	    7738	        0	      905	          0	    9017	        0	     1143	          0	
4.3/en/database.xml                    	231	   0	   0	     0	5388	   0	   0	     0	   33409	        0	        0	          0	   39917	        0	        0	          0	
4.3/en/extending-phpunit.xml           	 39	   0	   1	     0	 886	   0	  43	     0	    6951	        0	      269	          0	    8640	        0	      305	          0	
4.3/en/fixtures.xml                    	 75	   0	   1	     0	1509	   0	  61	     0	    9227	        0	      680	          0	   10939	        0	      703	          0	
4.3/en/incomplete-and-skipped-tests.xml	 69	   0	   3	     0	 759	   0	  92	     0	    4574	        0	      569	          0	    5400	        0	      632	          0	
4.3/en/index.xml                       	  1	   0	   0	     0	   1	   0	   0	     0	       5	        0	        0	          0	       5	        0	        0	          0	
4.3/en/installation.xml                	 78	   0	   4	     0	1066	   0	  65	     0	    6364	        0	      382	          0	    7355	        0	      455	          0	
4.3/en/logging.xml                     	 27	   0	   0	     0	 838	   0	   0	     0	    5660	        0	        0	          0	    6879	        0	        0	          0	
4.3/en/organizing-tests.xml            	 26	   0	   3	     0	 511	   0	  63	     0	    2966	        0	      490	          0	    3543	        0	      537	          0	
4.3/en/other-uses-for-tests.xml        	 19	   0	   1	     0	 575	   0	  19	     0	    3024	        0	      134	          0	    3580	        0	      150	          0	
4.3/en/selenium.xml                    	103	   0	   3	     0	1525	   0	 142	     0	   10519	        0	      963	          0	   12217	        0	     1060	          0	
4.3/en/strict-mode.xml                 	 16	   0	   0	     0	 401	   0	   0	     0	    2168	        0	        0	          0	    2548	        0	        0	          0	
4.3/en/test-doubles.xml                	182	   0	   0	     0	3780	   0	   0	     0	   25030	        0	        0	          0	   31429	        0	        0	          0	
4.3/en/testing-practices.xml           	 28	   0	   0	     0	 510	   0	   0	     0	    2620	        0	        0	          0	    3100	        0	        0	          0	
4.3/en/textui.xml                      	188	   0	   2	     0	1758	   0	 423	     0	   10687	        0	     2815	          0	   12791	        0	     3704	          0	
4.3/en/upgrading.xml                   	 13	   0	   0	     0	 315	   0	   0	     0	    1928	        0	        0	          0	    2205	        0	        0	          0	
4.3/en/writing-tests-for-phpunit.xml   	156	   0	  22	     0	2740	   0	 795	     0	   19051	        0	     6321	          0	   22904	        0	     7323	          0	
4.4/en/annotations.xml                 	165	   0	   0	     0	1922	   0	   0	     0	   12653	        0	        0	          0	   15189	        0	        0	          0	
4.4/en/assertions.xml                  	489	   0	  49	     0	5302	   0	1943	     0	   41407	        0	    13513	          0	   46784	        0	    14918	          0	
4.4/en/bibliography.xml                	 22	   0	   0	     0	  41	   0	   0	     0	     264	        0	        0	          0	     279	        0	        0	          0	
4.4/en/book.xml                        	 18	   0	   1	     0	  36	   0	   6	     0	     195	        0	       31	          0	     214	        0	       37	          0	
4.4/en/code-coverage-analysis.xml      	 67	   0	   0	     0	1204	   0	   0	     0	    7518	        0	        0	          0	    9078	        0	        0	          0	
4.4/en/configuration.xml               	 91	   0	   1	     0	1072	   0	  69	     0	    7738	        0	      905	          0	    9017	        0	     1143	          0	
4.4/en/database.xml                    	231	   0	   0	     0	5388	   0	   0	     0	   33409	        0	        0	          0	   39917	        0	        0	          0	
4.4/en/extending-phpunit.xml           	 39	   0	   1	     0	 886	   0	  43	     0	    6951	        0	      269	          0	    8640	        0	      305	          0	
4.4/en/fixtures.xml                    	 75	   0	   1	     0	1509	   0	  61	     0	    9227	        0	      680	          0	   10939	        0	      703	          0	
4.4/en/incomplete-and-skipped-tests.xml	 69	   0	   3	     0	 759	   0	  92	     0	    4574	        0	      569	          0	    5400	        0	      632	          0	
4.4/en/index.xml                       	  1	   0	   0	     0	   1	   0	   0	     0	       5	        0	        0	          0	       5	        0	        0	          0	
4.4/en/installation.xml                	 78	   0	   4	     0	1066	   0	  65	     0	    6364	        0	      382	          0	    7355	        0	      455	          0	
4.4/en/logging.xml                     	 27	   0	   0	     0	 838	   0	   0	     0	    5660	        0	        0	          0	    6879	        0	        0	          0	
4.4/en/organizing-tests.xml            	 26	   0	   3	     0	 511	   0	  63	     0	    2966	        0	      490	          0	    3543	        0	      537	          0	
4.4/en/other-uses-for-tests.xml        	 19	   0	   1	     0	 575	   0	  19	     0	    3024	        0	      134	          0	    3580	        0	      150	          0	
4.4/en/selenium.xml                    	103	   0	   3	     0	1525	   0	 142	     0	   10519	        0	      963	          0	   12217	        0	     1060	          0	
4.4/en/strict-mode.xml                 	 16	   0	   0	     0	 401	   0	   0	     0	    2168	        0	        0	          0	    2548	        0	        0	          0	
4.4/en/test-doubles.xml                	182	   0	   0	     0	3780	   0	   0	     0	   25030	        0	        0	          0	   31429	        0	        0	          0	
4.4/en/testing-practices.xml           	 28	   0	   0	     0	 510	   0	   0	     0	    2620	        0	        0	          0	    3100	        0	        0	          0	
4.4/en/textui.xml                      	188	   0	   2	     0	1758	   0	 423	     0	   10687	        0	     2815	          0	   12791	        0	     3704	          0	
4.4/en/upgrading.xml                   	 13	   0	   0	     0	 315	   0	   0	     0	    1928	        0	        0	          0	    2205	        0	        0	          0	
4.4/en/writing-tests-for-phpunit.xml   	156	   0	  14	     0	2740	   0	 621	     0	   19051	        0	     4279	          0	   22904	        0	     4842	          0	
4.5/en/annotations.xml                 	165	   0	   0	     0	1922	   0	   0	     0	   12653	        0	        0	          0	   15189	        0	        0	          0	
4.5/en/assertions.xml                  	489	   0	  42	     0	5386	   0	1924	     0	   42037	        0	    13399	          0	   47498	        0	    14760	          0	
4.5/en/bibliography.xml                	 22	   0	   0	     0	  41	   0	   0	     0	     264	        0	        0	          0	     279	        0	        0	          0	
4.5/en/book.xml                        	 18	   0	   1	     0	  36	   0	   6	     0	     195	        0	       31	          0	     214	        0	       37	          0	
4.5/en/code-coverage-analysis.xml      	 67	   0	   0	     0	1204	   0	   0	     0	    7518	        0	        0	          0	    9078	        0	        0	          0	
4.5/en/configuration.xml               	 91	   0	   4	     0	1067	   0	 172	     0	    7675	        0	     1368	          0	    8942	        0	     1699	          0	
4.5/en/database.xml                    	231	   0	   0	     0	5388	   0	   0	     0	   33409	        0	        0	          0	   39917	        0	        0	          0	
4.5/en/extending-phpunit.xml           	 39	   0	   1	     0	 888	   0	  45	     0	    6966	        0	      284	          0	    8657	        0	      322	          0	
4.5/en/fixtures.xml                    	 75	   0	   1	     0	1511	   0	  63	     0	    9242	        0	      695	          0	   10956	        0	      720	          0	
4.5/en/incomplete-and-skipped-tests.xml	 69	   0	   3	     0	 763	   0	  96	     0	    4604	        0	      599	          0	    5434	        0	      666	          0	
4.5/en/index.xml                       	  1	   0	   0	     0	   1	   0	   0	     0	       5	        0	        0	          0	       5	        0	        0	          0	
4.5/en/installation.xml                	 80	   0	   9	     0	1295	   0	 337	     0	    7851	        0	     2191	          0	    9181	        0	     2633	          0	
4.5/en/logging.xml                     	 27	   0	   0	     0	 838	   0	   0	     0	    5660	        0	        0	          0	    6879	        0	        0	          0	
4.5/en/organizing-tests.xml            	 26	   0	   3	     0	 511	   0	  63	     0	    2966	        0	      490	          0	    3543	        0	      537	          0	
4.5/en/other-uses-for-tests.xml        	 19	   0	   1	     0	 577	   0	  21	     0	    3039	        0	      149	          0	    3597	        0	      167	          0	
4.5/en/risky-tests.xml                 	 16	   0	   2	     0	 369	   0	  15	     0	    2008	        0	       85	          0	    2357	        0	       98	          0	
4.5/en/selenium.xml                    	103	   0	   3	     0	1531	   0	 148	     0	   10564	        0	     1008	          0	   12268	        0	     1111	          0	
4.5/en/test-doubles.xml                	182	   0	   0	     0	3780	   0	   0	     0	   25030	        0	        0	          0	   31429	        0	        0	          0	
4.5/en/testing-practices.xml           	 28	   0	   0	     0	 510	   0	   0	     0	    2620	        0	        0	          0	    3100	        0	        0	          0	
4.5/en/textui.xml                      	190	   0	   4	     0	1788	   0	 453	     0	   10904	        0	     3032	          0	   13049	        0	     3962	          0	
4.5/en/upgrading.xml                   	 13	   0	   0	     0	 315	   0	   0	     0	    1928	        0	        0	          0	    2205	        0	        0	          0	
4.5/en/writing-tests-for-phpunit.xml   	156	   0	  14	     0	2768	   0	 649	     0	   19261	        0	     4489	          0	   23142	        0	     5080	          0	
4.6/en/annotations.xml                 	165	   0	   0	     0	1922	   0	   0	     0	   12653	        0	        0	          0	   15189	        0	        0	          0	
4.6/en/assertions.xml                  	489	   0	  42	     0	5386	   0	1924	     0	   42037	        0	    13399	          0	   47498	        0	    14760	          0	
4.6/en/bibliography.xml                	 22	   0	   0	     0	  41	   0	   0	     0	     264	        0	        0	          0	     279	        0	        0	          0	
4.6/en/book.xml                        	 18	   0	   1	     0	  36	   0	   6	     0	     195	        0	       31	          0	     214	        0	       37	          0	
4.6/en/code-coverage-analysis.xml      	 67	   0	   0	     0	1204	   0	   0	     0	    7518	        0	        0	          0	    9078	        0	        0	          0	
4.6/en/configuration.xml               	 91	   0	   1	     0	1067	   0	  67	     0	    7675	        0	      890	          0	    8942	        0	     1119	          0	
4.6/en/database.xml                    	232	   0	   7	     0	5413	   0	 290	     0	   33545	        0	     1458	          0	   40077	        0	     1741	          0	
4.6/en/extending-phpunit.xml           	 39	   0	   1	     0	 888	   0	  45	     0	    6966	        0	      284	          0	    8657	        0	      322	          0	
4.6/en/fixtures.xml                    	 75	   0	   1	     0	1511	   0	  63	     0	    9242	        0	      695	          0	   10956	        0	      720	          0	
4.6/en/incomplete-and-skipped-tests.xml	 69	   0	   3	     0	 763	   0	  96	     0	    4604	        0	      599	          0	    5434	        0	      666	          0	
4.6/en/index.xml                       	  1	   0	   0	     0	   1	   0	   0	     0	       5	        0	        0	          0	       5	        0	        0	          0	
4.6/en/installation.xml                	 80	   0	   4	     0	1295	   0	  65	     0	    7851	        0	      382	          0	    9181	        0	      455	          0	
4.6/en/logging.xml                     	 27	   0	   0	     0	 838	   0	   0	     0	    5660	        0	        0	          0	    6879	        0	        0	          0	
4.6/en/organizing-tests.xml            	 26	   0	   3	     0	 511	   0	  63	     0	    2966	        0	      490	          0	    3543	        0	      537	          0	
4.6/en/other-uses-for-tests.xml        	 19	   0	   1	     0	 577	   0	  21	     0	    3039	        0	      149	          0	    3597	        0	      167	          0	
4.6/en/risky-tests.xml                 	 18	   0	   2	     0	 405	   0	  36	     0	    2242	        0	      234	          0	    2624	        0	      267	          0	
4.6/en/selenium.xml                    	103	   0	   3	     0	1531	   0	 148	     0	   10564	        0	     1008	          0	   12268	        0	     1111	          0	
4.6/en/test-doubles.xml                	182	   0	   1	     0	3784	   0	  89	     0	   25049	        0	      397	          0	   31452	        0	      485	          0	
4.6/en/testing-practices.xml           	 28	   0	   0	     0	 510	   0	   0	     0	    2620	        0	        0	          0	    3100	        0	        0	          0	
4.6/en/textui.xml                      	192	   0	   4	     0	1806	   0	 458	     0	   11031	        0	     3078	          0	   13198	        0	     4019	          0	
4.6/en/upgrading.xml                   	 13	   0	   0	     0	 315	   0	   0	     0	    1928	        0	        0	          0	    2205	        0	        0	          0	
4.6/en/writing-tests-for-phpunit.xml   	159	   0	  18	     0	2910	   0	 792	     0	   20069	        0	     5307	          0	   24167	        0	     6115	          0	
4.7/en/annotations.xml                 	165	   0	   0	     0	1922	   0	   0	     0	   12653	        0	        0	          0	   15189	        0	        0	          0	
4.7/en/assertions.xml                  	489	   0	  42	     0	5386	   0	1924	     0	   42037	        0	    13399	          0	   47498	        0	    14760	          0	
4.7/en/bibliography.xml                	 22	   0	   0	     0	  41	   0	   0	     0	     264	        0	        0	          0	     279	        0	        0	          0	
4.7/en/book.xml                        	 18	   0	   1	     0	  36	   0	   6	     0	     195	        0	       31	          0	     214	        0	       37	          0	
4.7/en/code-coverage-analysis.xml      	 67	   0	   0	     0	1204	   0	   0	     0	    7518	        0	        0	          0	    9078	        0	        0	          0	
4.7/en/configuration.xml               	 91	   0	   1	     0	1069	   0	  69	     0	    7695	        0	      910	          0	    8971	        0	     1148	          0	
4.7/en/database.xml                    	232	   0	   0	     0	5413	   0	   0	     0	   33545	        0	        0	          0	   40077	        0	        0	          0	
4.7/en/extending-phpunit.xml           	 39	   0	   1	     0	 888	   0	  45	     0	    6966	        0	      284	          0	    8657	        0	      322	          0	
